title,link,author,journal,website,abstract,referenced
Curie transitions in copolymers of vinylidene fluoride: Curie transitions in PVF2 copolymers,https://www.tandfonline.com/doi/abs/10.1080/00150198308014454,"AJ Lovinger, T Furukawa, GT Davis…","Ferroelectrics, 1983",Taylor & Francis,"… at higher temperatures than the reverse. Poled samples have higher Curie temperatures
than … of the Curie transition by the onset of melting. This suggests that the absence of a distinct …",67
Magnetocaloric effect in nanosystems based on ferromagnets with different Curie temperatures,https://link.springer.com/article/10.1134/S1063776121010131,"MA Kuznetsov, AB Drovosekov…","Journal of Experimental …, 2021",Springer,"… (1 K) change in temperature. Thus, the record magnetic … Curie temperatures are proposed
to be used as a magnetic material. A “strong” ferromagnet with a higher Curie temperature Θ …",6
Development of Fe–Nb–Cr–B glassy alloys with low Curie temperature and enhanced soft magnetic properties,https://ieeexplore.ieee.org/abstract/document/6028066/,"N Lupu, H Chiriac, S Corodeanu…","IEEE transactions on …, 2011",ieeexplore.ieee.org,"… temperature, and above 34–35 C the melt-spun ribbons become paramagnetic. While B
increases the Curie temperature … The Curie temperature of the microwires with the diameter of …",22
Pressure dependence of the curie temperature of ferromagnetic Laves phase alloys,https://aip.scitation.org/doi/abs/10.1063/1.1657654,"GT Alfieri, E Banks, K Kanematsu","Journal of Applied Physics, 1969",aip.scitation.org,"… We have studied the effect of high pressure on the Curie temperatures of some of these
alloys, using the method of McWhan. All of these samples show a linear decrease of To with …",23
"Investigations on electronic, Fermi surface, Curie temperature and optical properties of Zr2CoAl",https://www.sciencedirect.com/science/article/pii/S0022459617300014,"XP Wei, W Sun, YL Zhang, XW Sun, T Song…","Journal of Solid State …, 2017",Elsevier,"… 7, where we can see the Curie temperature becomes higher than room temperature when
the … and convenient way to tune the Curie temperature by the changes of lattice constant. …",8
Control of Curie temperature of FePt (Cu) films prepared from Pt (Cu)/Fe bilayers,https://ieeexplore.ieee.org/abstract/document/4717775/,"JI Ikemoto, Y Imai, S Nakagawa","IEEE Transactions on …, 2008",ieeexplore.ieee.org,"… preferential orientation results in the change of Curie temperature. Due to these aspects, the
… from room temperature to 300 C. As a result, it is possible to control Curie temperature from …",22
Unusual magnetic and transport properties above the Curie temperature in La2/3Ca1/3MnO3,https://www.sciencedirect.com/science/article/pii/S003810980500061X,"JQ Li, SL Yuan","Solid state communications, 2005",Elsevier,"… 2/3 Ca 1/3 MnO 3 reveal a common temperature range between ∼266 and ∼300 K, where
… formation of ferromagnetic clusters before the Curie temperature is reached. It is emphasized …",25
Ferromagnetism and Curie temperature of Vanadium-doped nitrides,https://academic.oup.com/jmicro/article-abstract/54/suppl_1/i61/984913,"VA Dinh, H Katayama",Yoshida,"Journal of Electron Microscopy, 2005","… temperature higher than room temperature. Hence, to synthesize the materials with Curie
temperature higher than room temperature … the high ferromagnetic Curie temperature (Tc) in Mn…",15
"Theory of the spin Hall effect, and its inverse, in a ferromagnetic metal near the Curie temperature",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.86.241303,"B Gu, T Ziman, S Maekawa","Physical Review B, 2012",APS,"… We find a relation between the ISHE and the four-spin correlations near the Curie temperature
T C. Such four-spin correlations do not contribute to the AHE, which relates to the three-…",17
"Low-temperature sintering and electrical properties of (K, Na) NbO3 based lead-free ceramics with high Curie temperature",https://www.sciencedirect.com/science/article/pii/S0272884211003324,"YL Wang, YQ Lu, MJ Wu, D Wang, YX Li","Ceramics International, 2012",Elsevier,"… sintering technique at a low temperature of 960 C. The effects … sintering performance and
Curie temperature of the ceramics … = 495 C, the dielectric constant at room temperature ɛ r (RT) …",17
The Curie temperatures of compounds of the heavy rare earths and yttrium with cobalt,https://iopscience.iop.org/article/10.1088/0305-4608/9/6/003/meta,EP Wohlfarth,"Journal of Physics F: Metal Physics, 1979",iopscience.iop.org,"… The Curie temperatures are calculated by applying the … For these the Curie temperature
IS much less sensiti\e to rare earth … Experimental values of the Curie temperatures 7;. of the …",34
"Characterization of perovskite piezoelectric single crystals of
with high Curie temperature",https://aip.scitation.org/doi/abs/10.1063/1.1682694,"S Zhang, CA Randall, TR Shrout","Journal of applied physics, 2004",aip.scitation.org,"… temperatures above their Curie temperature and the variety of high symmetry phases with
polar states found at lower temperatures… 3 m symmetry at room temperature. The piezoelectric …",85
Spontaneous magnetoimpedance in the Heusler compounds Pd2MnSn and Pd2MnSb near the Curie temperature,https://www.sciencedirect.com/science/article/pii/S0038109802004763,"GLF Fraga, P Pureur, DE Brandao","Solid state communications, 2002",Elsevier,"We report on magnetoimpedance (MI) measurements in the ferromagnetic Heusler
compounds Pd 2 MnSn and Pd 2 MnSb in temperature ranges encompassing their Curie …",22
Single crystal study of the high-Curie-temperature ferromagnet Gd1. 02Sc0. 98Ge and of Gd2. 38Sc2. 62Ge3,https://www.sciencedirect.com/science/article/pii/S0925838801017522,"P Manfrinetti, M Pani, A Palenzona, SK Dhar…","Journal of alloys and …, 2002",Elsevier,"… around that temperature, followed by near saturation at temperatures below 330 K; the …
The Curie temperature of ‘GdScGe’ is comparable to those of the isotypic compounds GdSc …",19
Magnetocaloric effect in heavy rare-earth elements doped Fe-based bulk metallic glasses with tunable Curie temperature,https://aip.scitation.org/doi/abs/10.1063/1.4892431,"J Li, J Huo, J Law, C Chang, J Du, Q Man…","Journal of Applied …, 2014",aip.scitation.org,"The effects of heavy rare earth (RE) additions on the Curie temperature (TC) and magnetocaloric
effect of the Fe-RE-B-Nb (RE = Gd, Dy and Ho) bulk metallic glasses were studied. The …",21
The pressure induced metamagnetic transition in Au2Mn and the pressure depen-dence of the ferromagnetic Curie temperature,https://www.sciencedirect.com/science/article/pii/0022369769903515,"RC Wayne, FA Smith","Journal of Physics and Chemistry of Solids, 1969",Elsevier,"… The transition pressure is independent of temperature. The ferromagnetic Curie
temperature increases linearly with a slope of 3.0-c 0+3”C kbar-’ between 18 and 24 kbar. …",15
Understanding magnetic exchange interactions by the pressure dependent Curie temperature in FeCoNiCuMn high entropy alloys,https://link.springer.com/article/10.1007/s11669-021-00920-x,"A Perrin, S McCall, M McElfresh, DE Laughlin…","Journal of Phase …, 2021",Springer,"We report the pressure (P) dependent Curie temperature, T c (P) in a FeCoNiCuMn high
entropy alloy (HEA). We analyze T c (P) in terms of d-orbital contraction to explain changes in …",1
Abnormal Curie temperature behavior and enhanced strain property by controlling substitution site of Ce ions in BaTiO3 ceramics,https://www.sciencedirect.com/science/article/pii/S0272884217307800,"S Liu, L Zhang, J Wang, Y Zhao, X Wang","Ceramics International, 2017",Elsevier,"… Here we report an abnormal Curie temperature (T c ) behavior and enhanced strain … solid
state reaction method through a different sintering temperature. The Raman test and the XPS …",14
"The Curie temperature and the effect of pressure of Ni-based alloys (Ni-Cu,-Pd,-Pt and-Rh)",https://www.sciencedirect.com/science/article/abs/pii/0038109879910500,"H Kadomatsu, H Fujiwara","Solid State Communications, 1979",Elsevier,"… The pressure effect on the Curie temperature T~, … ] are very suggestive, since the value of
~T~/z~p, effect on the Curie temperature T~, … On the basis of the available arguments, the Curie …",34
"La0. 7Ca0. 3Mn0. 95M0. 05O3 manganites (M= Al, Ga, Fe, Mn, and In): Local structure and electron configuration effect on Curie temperature and magnetization",https://www.sciencedirect.com/science/article/pii/S0921452606008684,"AN Ulyanov, JS Kim, GM Shin, KJ Song…","Physica B: Condensed …, 2007",Elsevier,"… T C , M are the Curie temperature of undoped La 0.7 Ca 0.3 … O > distance, is quite similar to
that of Curie temperature [3]. … above factors on Curie temperature of ferromagnetic perovskites…",28
Electrical conductivity of NiO near the curie temperature,https://journals.aps.org/pr/abstract/10.1103/PhysRev.112.1861,"E Yamaka, K Sawamoto","Physical Review, 1958",APS,"… room temperature to 400'C through the Curie temperature … is expected to appear near the
Curie temperature T~ 250'C, … mole percent) has been measured in the temperature range …",17
"Polar-axis-oriented epitaxial tetragonal (Bi,K)TiO3 films with large remanent polarization deposited below Curie temperature by a hydrothermal method",https://aip.scitation.org/doi/abs/10.1063/5.0075014,"Y Ito, A Tateyama, R Kubota, T Shiraishi…","Applied Physics …, 2022",aip.scitation.org,"… In conclusion, epitaxial tetragonal (Bi,K)TiO 3 films were grown at 240 C less than the Curie
temperature on (001) c SrRuO 3 //(001)SrTiO 3 substrates by a hydrothermal method. These …",3
Effect of lattice expansion on the Curie temperature of granular nickel films,https://www.sciencedirect.com/science/article/pii/0375960171906542,"M Rayl, PJ Wojtowicz, MS Abrahams, RL Harvey…","Physics Letters A, 1971",Elsevier,"… The compositional dependence of the Curie temperature T c for 0 ~… The room temperature
resistivity is highly composition … Data were obtained in the temperature range from 77K to 650…",20
Pressure dependence of the Curie temperature of spinel-type MnCo2O4,https://www.jstage.jst.go.jp/article/jpsj1946/61/2/61_2_752/_article/-char/ja/,S Tamura,"Journal of the Physical Society of Japan, 1992",jstage.jst.go.jp,"… The author does not know the fact that the Curie temperature or the Neel temperature … (For
Cr203, it was reported that the pressure coeMcient of the Neel temperature was negative by a …",16
Oxidation of Iron in the vicinity of its Curie Temperature,https://www.sciencedirect.com/science/article/abs/pii/0038109879909682,"BC Sales, AL Cabrera, MB Maple","Solid State Communications, 1979",Elsevier,"… The Curie temperature of each of reactions occurring at or … in A that occurs exactly at the
Curie temperature 8~ Fig. 1 … Curie temperature. Although the apparent apparent activation …",19
Strong pressure dependences of the magnetization and Curie temperature for CrTe and MnAs with NiAs-type structure,https://iopscience.iop.org/article/10.1088/0953-8984/14/45/320/meta,"H Yamada, K Terao, K Kondo…","Journal of Physics …, 2002",iopscience.iop.org,"… temperature by taking into account the effect of spin fluctuations [17]. In this paper, the strong
pressure dependences of the magnetization and the Curie temperature … Curie temperature …",17
Enhanced Curie temperature and magnetic entropy change of Gd63Ni37 amorphous alloy by Co substitution,https://www.sciencedirect.com/science/article/pii/S0966979519305643,"MN Song, LW Huang, BZ Tang, D Ding, X Wang, L Xia","Intermetallics, 2019",Elsevier,"… -caloric effect (MCE) at low temperature. For practical use of these amorphous alloys as
refrigerants, it is vitally important to improve their Curie temperature (T c ). Unfortunately, the …",7
Ferrimagnetic ordering with high Curie temperature in ordered Bi2CuCrO6 cubic perovskite,https://www.sciencedirect.com/science/article/pii/S0272884218335065,S Ravi,"Ceramics International, 2019",Elsevier,"… Curie temperature or due to the existence of ferromagnetic impurities with high Curie
temperature… found to be different for the same field at room temperature. For example, at 300 K, …",9
